ASM190142v1	GCA_001901425.1	GCF_001901425.1
ASM1300404v1	GCA_013004045.1	GCF_013004045.1
ASM538310v2	GCA_005383105.2	GCF_005383105.2
ASM588603v1	GCA_005886035.1	GCF_005886035.1
ASM1493091v1	GCA_014930915.1	GCF_014930915.1
ASM1680391v1	GCA_016803915.1	GCF_016803915.1
ASM3756665v1	GCA_037566655.1	GCF_037566655.1
ASM301815v1	GCA_003018155.1	GCF_003018155.1
ASM3709458v1	GCA_037094585.1	GCF_037094585.1
ASM636469v1	GCA_006364695.1	GCF_006364695.1
ASM286368v1	GCA_002863685.1	GCF_002863685.1
ASM90052036v1	GCA_900520365.1	GCF_900520365.1
ASM330897v1	GCA_003308975.1	GCF_003308975.1
ASM1328227v1	GCA_013282275.1	GCF_013282275.1
ASM3038470v1	GCA_030384705.1	GCF_030384705.1
ASM3070799v1	GCA_030707995.1	GCF_030707995.1
ASM1680387v1	GCA_016803875.1	GCF_016803875.1
ASM1429521v1	GCA_014295215.1	GCF_014295215.1
ASM2491891v1	GCA_024918915.1	GCF_024918915.1
ASM1133093v2	GCA_011330935.2	GCF_011330935.2
41556_D01	GCA_900635325.1	GCF_900635325.1
ASM1677986v1	GCA_016779865.1	GCF_016779865.1
ASM3464261v1	GCA_034642615.1	GCF_034642615.1
ASM227811v2	GCA_002278115.2	GCF_002278115.2
ASM3688477v1	GCA_036884775.1	GCF_036884775.1
AI2959v1_cpp	GCA_905330955.2	GCF_905330955.2
ASM3099520v1	GCA_030995205.1	GCF_030995205.1
ASM1416911v1	GCA_014169115.1	GCF_014169115.1
ASM1429531v1	GCA_014295315.1	GCF_014295315.1
ASM3070815v1	GCA_030708155.1	GCF_030708155.1
ASM167749v1	GCA_001677495.1	GCF_001677495.1
ASM2999119v1	GCA_029991195.1	GCF_029991195.1
ASM2998996v1	GCA_029989965.1	GCF_029989965.1
ASM2998940v1	GCA_029989405.1	GCF_029989405.1
ASM2998795v1	GCA_029987955.1	GCF_029987955.1
ASM3709463v1	GCA_037094635.1	GCF_037094635.1
ASM2998962v1	GCA_029989625.1	GCF_029989625.1
ASM3708198v1	GCA_037081985.1	GCF_037081985.1
ASM3237514v1	GCA_032375145.1	GCF_032375145.1
ASM1731044v1	GCA_017310445.1	GCF_017310445.1
ASM2998982v1	GCA_029989825.1	GCF_029989825.1
ASM2999045v1	GCA_029990455.1	GCF_029990455.1
ASM3070803v1	GCA_030708035.1	GCF_030708035.1
ASM193631v1	GCA_001936315.1	GCF_001936315.1
ASM1550880v1	GCA_015508805.1	GCF_015508805.1
ASM3070817v1	GCA_030708175.1	GCF_030708175.1
ASM1677582v1	GCA_016775825.1	GCF_016775825.1
ASM1678057v1	GCA_016780575.1	GCF_016780575.1
ASM3671367v2	GCA_036713675.2	GCF_036713675.1
ASM1677624v1	GCA_016776245.1	GCF_016776245.1
ASM296787v2	GCA_002967875.2	GCF_002967875.2
ASM3001343v1	GCA_030013435.1	GCF_030013435.1
MSB1_4I	GCA_905071835.1	GCF_905071835.1
ASM293489v1	GCA_002934895.1	GCF_002934895.1
HUSEC2011CHR1	GCA_000967155.1	GCF_000967155.2
ASM239336v1	GCA_002393365.1	GCF_002393365.1
ASM539360v2	GCA_005393605.2	GCF_005393605.2
ASM3237518v1	GCA_032375185.1	GCF_032375185.1
ASM2999037v1	GCA_029990375.1	GCF_029990375.1
ASM3001371v1	GCA_030013715.1	GCF_030013715.1
ASM3001367v1	GCA_030013675.1	GCF_030013675.1
ASM301861v1	GCA_003018615.1	GCF_003018615.1
ASM1602633v1	GCA_016026335.1	GCF_016026335.1
ASM1942860v1	GCA_019428605.1	GCF_019428605.1
ASM3041912v1	GCA_030419125.1	GCF_030419125.1
ASM806543v1	GCA_008065435.1	GCF_008065435.1
ASM2470081v2	GCA_024700815.2	GCF_024700815.2
ASM1690393v1	GCA_016903935.1	GCF_016903935.1
ASM1104525v1	GCA_011045255.1	GCF_011045255.1
ASM3178651v1	GCA_031786515.1	GCF_031786515.1
ASM2080896v1	GCA_020808965.1	GCF_020808965.1
ASM286366v1	GCA_002863665.1	GCF_002863665.1
